,Body
3700,
3701,IQ-Mindestgrenze für den Zugang zu politischen Ämtern ?!? ;-)
3702,"Ich glaube schon das es auch etwas damit zu tun hat. Perfektionismus ist vlt nicht das geeignetste Wort dafür. 
Ich glaube es kommt sehr stark auf die Art des Gendefektes an, wie man einen Menschen mehr helfen kann. Ich würde nicht jeden Gendefekt ausmerzen und jeden Fall einzeln und individuell prüfen. Dabei muss die endgültige Entscheidung immer bei den Eltern (eigentlich der Mutter) liegen!
Aber in einer Welt voller gesunder Menschen ein krankes Kind zur Welt zu bringen, puh da wird man sicher gesellschaftlich geächtet. Also so frei ist die Wahl dann auch wieder nicht. So tolerant sind wir leider nicht. 
Von der Augenfarbe möchte ich gar nicht reden... Ein Kind bekommen ist kein Autokauf..."
3703,"Das Problem ist, wenn gesunde Menschen ihre Idee von Lebensqualität den ""kranken"" Menschen vorschreiben und fast schon einreden. 
Man wird oft bemitleidet und bedauert.
Ich bin nur ein Einzelfall und sicher nicht repräsentativ, aber ohne meine Krankheiten wäre ich ein ganz anderer Mensch. Und jetzt geht es mir so, dass ich mich frage ob ich ein Kind in die Welt setzen soll. Es ist mein Recht, aber leider weiß ich wie die Gesellschaft tickt. Würde ich bei meinem Kind den Gendefekt löschen können, ich wüsste nicht ob ich es tun würde. Ich will mit Sicherheit ein gesundes Kind, aber vor allem möchte ich ein glückliches Kind.
Es ist ein sehr komplexes Thema, das viele Facetten hat. Ich will bloß einen anderen Blick auf die Dinge werfen."
3704,"Und bei denen kann man den Schaden nimmehr rueckgaengig machen. Wenn diese Tiere (z.B. haarlose Katzen)in die freie Wildbahn geraten, sterben sie, und da ist noch gar kein Gentechnik drin. Wenn man einen genetisch hochgezuechteten Menschen nach einem globalen Blackout in den Wald aussetzt, ist er hinueber."
3705,"So ein Quatsch. Warum sollte ein durch Modifikationen gesünderer, stärkerer oder schlauerer Mensch in der Wildniss untergehen? 

Die Art der Modifikation ist entscheidend. Gentechnologie ist zudem wesentlich präziser als die rein phänotypische Selektion bei der Züchtung, weswegen unerwünschte Nebenwirkungen, wie z.B. starke Immunsuppression bei vielen überzüchteten Hunderassen wesentlich unwahrscheinlicjer sind."
3706,"Das hängt stark vom zu modifizierenden Locus ab. Bei einigen Krankheiten sind die verursachenden Mutationen bestens bekannt. Eine Modifikation ist, sofern ausreichend präzise Werkzeuge zur verfügung stehen, was dank CRISPR/Cas9 hoffentlich bald der Fall sein wird, ohne Probleme möglich."
3707,"Studien verstehen sich von selbst. Aber wie soll man Erfahrungen sammeln wenn man Forschung unterbindet. 

Es darf auch niemand dazu gezwungen werden. Aber die Wahlmöglichkeit sollte es, wie bei anderen medizinischen Eingriffen, auf jeden Fall geben, egal was Religionen etc dazu sagen."
3708,"Das ist Ihre Meinung, welcher ich entschieden widersprechen möchte. Ich persönlich möchte Zugang zu Gentherapien welche meine Fähigkeiten, seien es mentale oder physische, steigern. 

Wenn Sie dies nicht wollen ist dies Ihre Sache, zwingen kann und soll Sie niemand. Aber anderen diese Möglichkeiten zu verwehren ist eine Frechheit."
3709,"Und wo wäre bei diesem (sehr unwahrscheinlichen) Szenario bitte das Problem?! Gesteigerte Intelligenz würde unserer Spezies definitiv gut tun. 

Man konnte auch nicht sagen, wie die Erfindung des Feuers oder der Schrift enden wird...was uns zum Glück nicht abgehalten hat. 

Ihre Meinung wird sich glücklicherweise nicht durchsetzen, dennoch ist mir diese Einstellung absolut unverständlich."
3710,"Die Naturwissenschaft liefert klare Ergebnisse welche unsere Spezies aus den Höhlen ins Weltall gebracht haben.

Geisteswissenschaften auf die gleiche Stufe zu stellen empfinde ich als Naturwissenschaftler als Beleidigung. Beides hat eine Existenzberechtigung...aber solange Philosophie weder Cholera heilen noch Computer zum laufen bringen kann, liegt der Vorteil klar bei den Naturwissenschaften.

Und die Philosophie hat den Naturwissenschaften nichts vorzuschreiben...und sie wird dies auch nicht schaffen. Die Grenzen sind allein technisch...alles andere ist lächerlich."
3711,"Falsch. Jeder hat das Recht sich zu informieren und die Möglichkeit dies zu tun sollte jedem gegeben werden. Dies ist spätestens seit dem Internet und der Tatsache, dass jede große Publikation in den großen Bibliotheken ausleihbar ist, der Fall.

Nachlaufen muss man garantiert niemanden."
3712,"Wenn Krankheiten durch Genaustausch behandelt werden, nennen Sie das ""hochgezüchtet""? Das ist doch nur die Wiederherstellung eines gesunden Gens, wie sie andere Menschen auch haben."
3713,besser genormt als krank
3714,"in der forschung vielleicht, das wäre zu diskutieren. 
aber in der anwendung - nein, nicht ""no borders""! 
(und hier handelt es sich um anwendung)"
3715,"Ein behobener Defekt ist keiner !

Warum krank leben, wenn es anders auch möglich ist ?

Klares Pro meinerseits."
3716,"Dann später kommen die Linken und sagen, jeder sollte darauf Zugriff haben Unabhängig vom Geldbeutel."
3717,"Also so ein zweiter Satz arme wär schon praktisch...
Und die Mädels im Kino würden mich den ""Kraken"" nennen...;)"
3718,"Da das Überleben der Angepasstesten als Grundprinzip der Evolution beim Menschen seit einigen Jahrtausenden immer mehr außer Kraft gesetzt wird, sei es durch ein soziales Netz, oder durch moderne Medizin, werden nachteilige Mutationen nicht mehr ausgesiebt. Das bedeutet, dass der Mensch, wenn man da kein neues System einführt nicht nur immer mehr Wehwehchen hat, sondern auch von Natur aus in anderen Bereichen immer schlechtere Voraussetzungen hat. Krankheiten gehören natürlich ausgerottet, die Frage ist nur, wie sehr man sonst noch ins Erbgut eingreifen will. Bei Designer-Babys kann man durchaus Regelungen treffen, dass die Eltern nur eigene Gene weitergeben dürfen, und dabei eben wählen dürfen welche. Oder zumindest nur menschliche Gene."
3719,"Ein positiver Effekt wäre wohl, dass man das langsame aber sicher Außsterben von Blondinen und Rothaarigen ausbremsen könnte ;)"
3720,"Wir müssen auch was essen. Auch Pflanzen sind Lebewesen, aber Veganismus wäre sowieso nicht meins, synthetische Nahrung auch nicht unbedingt, wenn es anders geht."
3721,"Nur denen mit dem dicken Geldbeutel, oder falls es ""verboten"" wird mit den guten Kontakten. So wie Koks in Politik, Film und bei Bankern. :-)"
3722,Leiden zum Selbstzweck fordern nur alte Märchen (Religionen).
3723,Das kann ich nicht verstehen.
3724,"Schon jetzt haben es Menschen leichter wenn sie reiche Eltern haben und erben. Sie haben dann auch zugang zu besserer ""konventioneller"" Medizin."
3725,"Daraus gehen zu einem gewissen Zeitpunkt technische Grenzen hervor, die (zu diesem zeitpunkt) nicht überschritten werden können.

Der Kerzenhersteller wird auch gegen die Produktion von Glühlampen gewesen sein, der Kutscher gegen Autos."
3726,Konservative und Religionen sollten in dieser Sache kein Gehör finden.
3727,"Warum findet sich der Artikel im Web- und nicht im Wirtschaftsressort?
Achso, Apple steht acht mal in einem Artikel, deshalb geht es ja nicht um Auto- oder Pharmafirmen bzw generell eh alle, sondern die IT-Branche ;)"
3728,weil das webressort mehr leser hat
3729,"Auch wenn das der Fall wäre, ist das keine Begründung. Entweder gehört ein Artikel zum Wirtschaftsressort oder nicht. Dieser Artikel gehört eindeutig zum Wirtschaftsressort."
3730,"Finde ich auch, aber es gibt die IT-Business Unterrubrik, und da ist es jetzt nicht ganz falsch."
3731,"Andererseits kann man mit der Logik den Artikel in jedes Resort stecken:
International weil es sich um Ausländische Firmen handelt
Inland weil es deren Produkte auch bei uns zu kaufen gibt
Wirtschaft liegt auf der Hand
Web weil Apple drin vorkommt
Sport weil viele Sportler auf die Pharmaindustrie angewiesen sind
Etat weil man das Product Placing eh ständig in Filmen/ Serien sieht
Kultur weil GM & Apple durch ihr Markenbild Kundengruppen vermitteln wollen, dass ihr Produkt etwas erstrebenswertes mit künstlerischem Aspekt ist
Wissenschaft weil Pharmazie dabei ist
Gesundheit -''-
Reisen weil man mit GM Autos fortfahren kann
Lifestyle weil manche Produkte der Firmen das darstellen sollen
Familie weil die Kinder auch gerne ein iPhone hätten"
3732,"ja eh, und?"
3733,"Ein klarer Fall, wo Cross-Posting sinnvoll ist.

Im Zeitalter des Hyperlinks könnte man ja einfach in beiden Ressorts auf den Artikel verlinken."
3734,"Danke das du das jetzt geklärt hast. Weiter so, sorge für Ordnung!!

;)"
3735,kaputtalismus eben. jetzt bekommen nicht mal die aktionäre cash. das bekommt jatzt nur mehr diejenige heuschrecke die ein U ausschlachtet
3736,"Liebe Leute, tut es wirklich Not sich über die Falschkategorisierung oder Querverlinkung eines Artikels so zu echauffieren?

Oder gäbe es nicht wichtigere Probleme zu lösen? *thinktank* Wer hätte Interesse?"
3737,"Es ist ja schon mal ein Fortschritt, daß der Artikel nicht unter ""Innovationen"" ist. Haben Sie Geduld ..."
3738,
3739,"Für Standardanwendungen (Taschenlampen, Radios, etc.) verwende ich ausschließlich wiederaufladbare Akkus; mit einem guten Ladegerät (Ansmann), das auch über eine Entladefunktion verfügt, halten die Akkus auch entsprechend lang.

Für Spezialbereiche (E-Blitz ohne Akku) verwende ich wegen der langen Einsatzsdauer Lithium-Batterien."
3740,"Schade, dass man schon extra darauf hinweisen muss, wenn mal ein Gerät ""ein paar Jahre hält"" ..."
3741,Nein.
3742,Was ist ein Gerät mit Handheld-Gerät?
3743,Das ist ein schlecht redigierter Satz ;-) Danke für den Hinweis.
3744,das ist dann der gerät schlechthin! ;)
3745,Schlecht kopiert meinen sie? ;-)
3746,ein Iphone mit umgebundener Watch um auf der Rückseite die Benachrichtigungen zu sehen.
3747,"Das wäre zB eine Mischmaschine...

lg mensch"
3748,"synonymwörterbuch ... 

SCNR

*duckundweg*"
3749,"sind eigentlich nur Bewohner des Hochhauses Neue Donau die um ihre Aussicht fürchten, denn das Recht in einem Hochhaus mit schöner Aussicht zu Wohnen soll nur ihnen zustehen und ja niemand anderem!

Ein gar nicht besorgter Anrainer der sich auf ein weiteres schönes Gebäude in der Aussicht freut."
3750,nuja ich muss ja nicht drin wohnen
3751,sieht sehr gut aus. Darin möchte ich auch wohnen.
3752,"Diese Baubewilligung wird nur dazu führen, dass die FPÖ Stimmen gewinnt, die Grünen sind extrem unglaubwürdig, nur im 7. Bez. für Qulität, sonst klotzt der Spekulant was hin. In den untersten Stockwerken ein paar geförderte Wohnungen, die miserabel sein werden und teuer dazu, weil ja alle die Infrastruktur des Hochhauses mitzahlen, wie ZB Tag u Nacht Portiere.
Und was auf dem Klotz wachsen wird, sei dahin gestellt. In dieser Windschneiße wird wohl nur der Plastikbaum gedeihen. Aber die Grünen fallen drauf hinein.
Fehlt nur noch ein Soravia-Wing wie bei der Albertina."
3753,Vassilakous next big fail.
3754,Die hat bis jetzt vieles richtig gemacht..
3755,"in der gebäudehöhe gibt es bäudeschwankungen und,die,fenster,müssen immer zu sein. ideal für familien mit,kindern und bierkistenträger"
3756,Gibt es nach derlei Wohnungen überhaupt eine entsprechende Nachfrage? Stehen nicht im nahen DC Tower noch immer 2/3 der Wohnungen und Büros leer?
3757,
3758,Im DC-Tower gibts doch überhaupt keine Wohnungen
3759,"Man sollte Wohntürme nicht mit Bürotürmen verwechseln. Bei ersteren gibts eine höhere Nachfrage als es Angebot gibt - weswegen die Mieten ja anziehen - bei letzteren gibt es mehr Angebot als Nachfrage - deshalb die Leerstände.

Wenn man selber nur Altbauten im Stadtzentrum will, dann ist natürlich alles was anders aussieht keine Qualität, nur sollte man seine eigenen Vorlieben nicht anderen Leuten überstülpen. Es gibt jetzt schon Wohnhochhäuser, und die sind recht gut vermietet.

Bzgl. drauf wachsen gibts ja offenbar grad Beratung durch die BOKU, aber was wissen Wissenschaftler schon, was der gemeine Standardposter nicht viel besser weiß, weil seine Vorstellung natürlich wesentlich richtiger ist als wissenschaftliche Fakten..."
3760,"Mir stiehlt das neue Hochhaus keine Aussicht, aber es ist eine Sauerei, dass ein preisgekröntes und wohldurchdachtes Ensemble des wirklich guten Architekten Harry Seidler damit einfach versaut wird. Wie gut die grüne Fassade bei den im Donautal herrschenden Windgeschwindigkeiten funktionieren wird, bleibt abzuwarten. Bei der Erstvorstellung gab es dazu nur sehr vage Angaben. Außerdem kann das wohl nur funktionieren, wenn es nicht dem einzelnen Wohnungsmieter/Eigentümer überlassen bleibt, das Grün zu pflegen, sondern wenn das - wie bei einem ähnlichen Projekt in London - auf Kosten der Allgemeinheit erfolgt. Bleibt dann immer noch eine Wesfassade 5m neben einer 7-spurigen Brücke, also keine Möglichkeit, ein Fenster zu öffnen."
3761,
3762,"ich finde den seidler turm wirklich nicht besonders gut. die flacheren bauten sind sehr gut, aber der turm ist irgendwie nix."
3763,sicher? ich dachte da sollen ein paar entstehen.
3764,"Nein, nicht nur, es sind schon auch Menschen von dahinter. Ich bin absolut nicht gegen das Projekt, aber son einfach ist es auch wieder nicht."
3765,"Ja, eben, ein paar.

http://de.wikipedia.org/wiki/DC_Towers#Nutzung

Auf 4 von 60 Stockwerken gibt es zweigeschossige Wohnungen."
3766,"Die DC ist eben kein durchdachtes Areal. Das was jetzt dort steht weicht von sämtlichen Generalplanungen, die von irgendjemand auch nur irgendwann erstellt wurden stark ab.

Warum soll vor Harry Seidlers Turm kein weiterer Turm gebaut werden können? Wir sprechen von einer Hochhauszone, nicht vom Stephansplatz."
3767,"Die DonauCity ist auf der anderen Seite der Reichsbrücke. Stromabwärts war bislang nur ein von einem einzigen Architekten geplantes Ensemble. Dass das Kino nicht 'funktioniert' hat hängt wohl hauptsächlich mit der Konkurrenz durch das Donauplexx und das attraktivere Essen am Wasser zusammen. 

Harry Seidler hat absichtlich ein Nicht-Wohngebäude als Abschluss des Wohnparks zwischen Wohnhäuser und Brücke gestellt. 

Und auch wenn dort Hochhauszone ist, muss man das Seidler-Ensemble ja nicht so 'zustellen', wie das der neue Turm tut. Etwas niedriger als der Seidler-Tower täte es bei etwas weniger Gewinn auch. 

Die bisherige Kommunikation zu Danube Flats lässt jedenfalls daran zweifeln, dass das ebenso durchdacht ist wie die Seidler-Anlage."
3768,"na eh nicht wirlich wesentlich. aber das ist nicht ""überhaupt keine"""
3769,die Organisatoren sind aber ausschließlich Bewohner des Seidler-Hochhauses. Und denen geht es in keinster Weise um Stadtbild oder Ähnliches sondern ausschließlich um ihre eigene Aussicht.
3770,"Gebäude in Städten sind nicht dazu gebaut alleine zu stehen, auch Hochhäuser nicht. Und das hätte Herr Seidler mit Sicherheit ganz genauso gesehen, der war nämlich tatsächlich ein herausragender Architekt und als solcher auch in der Lage die Architektur von Kollegen Wert zu schätzen.

Übrigens: Ähnliche Stimmen wie die Ihre waren auch vor Bau des Wohnparks und Hochhauses Neue Donau zu hören."
3771,"keinen Zentimeter weiter weg als das nun geplante Hochhaus!

Es wird gar nichts zugestellt sondern ein ebenfalls sehr ansprechendes Haus daneben gestellt, dass ist der Normalfall im Städtebau!"
3772,
3773,Weiss man wieviel Wohnungen dort ca. kosten werden ?
3774,"Das nicht, aber die Danube Flats wirken sehr vielversprechend. Mann muss nicht immer alles schwarz-weiß sehen."
3775,... aber diese Seidlerwohnungen schauen aus wie Sozialwohnungen in St. Poelten oder 70er Ferienwohnungen in Lignano. Sie wuerden auch gut in die Gegend von Bratislava passen (dort wo die Windmuehlen stehen).
3776,34
3777,Alle die hier herummotzen haben keine Ahnung von der hohen Wohnqualität in dieser Gegend!
3778,die haben grad mal mit der einreichung begonnen ....
3779,"durchdachtes ensemble? es ist ein zusammenwürfelter haufen. muss nix schlechtes sein, aber ist eben so. 

der achitekt mag ein netter mensch sein und gute arbeit liefern, aber die hütte des konkreten falls ist so ziemlich der standardmäßigste hochhausbau den es seit 20 jahren gibt. in dubai steht sowas an jeder ecke. detto im nahen osten oder im ehemaligen ostblock."
3780,wohnen alle nur ganz oben?
3781,"Wo Chorherr draufsteht ist das Ergebnis bekannt: Ein kleiner Kreis von Firmen wird mächtig zuschlagen. Dem ganzen noch ein ""soziales Mascherl"" umzuhängen ist Brechreizfördernd. Das Grundstück gehört durch die bisland wirtschaftlich erfolglosen Eigentümer an die Stadt zurückgestellt und die Stadt soll hier nach einem BAuträgerwettbewerb sozialen Wohnbau ohne wenn und aber errichten."
3782,"nicht mögen - aber ihre Vergleich sind einfach völlig unzutreffend! Die einzige Ähnlichkeit die sich da finden läßt ist, dass alles mehrgeschoßige Wohnbauten sind."
3783,"Net bös sein, aber der Seidlertower ist optisch eine Zumutung. Von Ensemble kann nicht die Rede sein und funktionieren tut dort nichts."
3784,"Das ist mir schon klar, aber Vergleichspreise, Schätzung

Gibt ja hier sicher ein paar Spezialisten was diese Thematik anbelangt"
3785,"Da fällt mir der Turm von Coop Himmelblau an der alten Donau ein. Dort planten die Architekten vertikale Gärten die zu jeder Jahreszeit grün sein sollten. Sieht auf den Entwürfen super aus. Hat aber überhaupt nicht funktioniert, es gibt genau überhaupt kein Grün dort. Die Spezialfassade wurde nach einigen Jahren überhaupt umgebaut da das Wohnen dort klimatisch unmöglich war.

Klingt als ob nun besser recherchiert wurde, sollte der Bau kommen wette ich aber darauf, dass dort oben kaum was Grün sein wird. Freu mich wenn ich verliere."
3786,"Soweit ich weiß gibt es keine eindeutige Definition dafür ob die DC auch östlich der Reichsbrücke liegt. Lt. Wikipedia ist die DC ein neuer Stadtteil neben der Reichsbrücke an der Neuen Donau.

Das mag schon sein, dass Harry Seidler das Gebäude dort so geplant hat, aber das ändert nichst daran, dass man deshalb dort kein höheres Gebäude errichten dürfen soll. Das Kaiserforum wurde auch zu beiden Seiten des Heldenplatzes gebaut, alerdings wurden die Planungen dann wieder revidiert.

Warum soll das Seidler-Ensemble unbedingt freibleiben? Mit dem gleichen Argument hätte man kein einziges Hochhaus in der DC bauen dürfen, weil jedes den Blick auf die UNO-City verstellt."
3787,zu viel auf jeden Fall!
3788,"Hauptsache die grauslichen Türme stehen in Transdanubien über einer Autobahn, dort wo eh keiner Wohnen will,..

Die ganze Donauplatte ist eine politscher und architektonischer Skandal, seit man dort zu Planen begonnen hat."
3789,"Verständlich, da die Sicht auf die Donau dann verdeckt wird. Aber ich finde dieses Projekt ziemlich lässig. Mit dem DC Tower usw. entwickelt sich dieses Viertel zu einer schönen Skyline für Wien. 

http://www.msg-magazin.com/wp-content/uploads/2012/10/skyline_ufer-neue_donau.jpg"
3790,"Hochhau

Gut so? :)"
3791,"Eh, aber das ursprüngliche Thema war ja die Nachfrage nach solchen Wohnungen."
3792,"...der neue Trend in Wien.
Auch in downton Kaisermühlen freut man sich über das ""Wohndelta"" das quasi am Tunnelportal der A22 steht und den eingeborenen endlich den Lärm nimmt.
Es gibt aber Menschen die viel zahlen um in einer Lärmschutzwand zu wohnen.
Tant pis pour eux."
3793,"Sind hier die Schergen des Immobilienetwicklers am Stricherl verteilen?
Verblendete Kreaturen, nach Gewinn lächzend und frei von der geistigen Gabe einen diskurs zu führen?"
3794,Das neue Gebäude steht VOR der Hauptseite des Hochhaus neue Donau und zerstört sämtliche sichtachsen. Stadtplanerisch gesehen ist das ein absoluter Pfusch!
3795,Da steht der DC Tower No2 in der Visualisierung schon mal so da. Sehr ansprechende Visualisierung.
3796,Solange die Bezirksvertretungen gegen die Bewohner und für die Sprkulanten arbeiten wird dir Fpö zulegen!
3797,"na und, da könnte weltweit nirgendwo mehr als 10 Hochhäuser pro Stadt gebaut werden. Das nennt man Pech."
3798,"DIe NIMBY-Haltung der Bewohner des bestehenden Hochauses geht mir ziemlich auf den Zeiger.

Aber einen Bobo-Scyscraper für Bonzen da hinzustellen (statt sozialem Wohnungsbau) finde ich hatl auch keine gute Lösung.

Das Büro Vassilakou glänzt mal wieder (nach Mariahilfer Str., Eislaufverein etc.)mit Inkompetenz und Umverteilung zu den Reichen."
3799,Und die werden es auch durchwinken und einen schönen Schnitt für sich selbst rausholen. Weil FPÖ-WählerInnen einfach - man verzeihe - dumm sind.
3800,"Viele FPÖ-Wähler haben vorher ja andere Parteien gewählt. Waren sie in diesen Parteien auch schon dumm oder sind sie vor der Wahl dümmer geworfen, bis sie das FPÖ-Limit erreicht haben? 
Werden SPÖ und ÖVP durch den Verlust dummer Wähler im Schnitt immer intelligenter oder ist am Ende vielleicht nur ihr Posting dumm?"
3801,"Was bedeutet das konkret, dass die Sichtachsen zerstört werden?"
3802,"Ich finde den Seidler Tower grauslich. Das hässlichste Hochhaus in ganz Wien. So sind Geschmäcker eben verschieden. Auch die Gegend ist nicht besonders schön, da ist z.B. die Gegend am Wienerberg 10 mal netter. Da herrscht auch Leben."
3803,weil da gleich die Pflanzen gegossen werden...
3804,"für eine wohnung im tower interessiert und habe sehr freundliches feedback erhalten. allerdings konnten mir noch keine konkreten details genannt werden, was ich darauf zurückführe, dass diese projekt noch auf messers schneide steht. was müssen, die paar leute im anderen wohnturm an politischen einfluss haben? weil sich 3 hansln aufregen, wird ein projekt gekippt, das arbeitspätze und wohnraum schafft und noch dazu lässig aussieht?"
3805,WTF
3806,Die Schwiegermutter ist immer so gerne mit der Bahn gefahren....
3807,"""einer etwa 1,40 Meter großen Frau im Alter zwischen 70 und 90 Jahren.""

Könnte sogar ein natürlicher Tod gewesen sein und die Kinderchen hatten einfach nur kein Geld für eine ordentliche Beerdigung. Ihr wisst ja, wie teuer so was werden kann."
3808,"Den Geruch werden Sie schon bemerkt haben, Vielleicht haben sie auch nur gedacht, es hat jemand einen ""Koffer"" abgestellt. Kein Asiate würde jemanden anderen auf seine Darmwinde aufmerksam machen."
3809,Bin wieder mal zu höfflich;
3810,Leiche in Fundbüro gefunden...
3811,dort muss es von haus aus stinken..puh..
3812,"wenn du Darmwinde hast die wie Verwesungsgeruch riechen solltest du ernsthaft einen Spezialisten aufsuchen

dass ist schon etwas wo die die Luft wegbleibt und ist auch nicht mit einem Furz zu verwechseln"
3813,"""Frauenleiche verweste wochenlang in Fundbüro in Tokio"" -> also wurde eine Leiche gefunden und im Fundbüro abgegeben..."
3814,ca. 411.000 pro tag. ned wenig.
3815,"Das ist eigentlich recht wenig, wenn man bedenkt, dass Tokio eine der weltgrößten Städte ist. In der Mini-Metropole Frankfurt am Main (mit ""nur 680.000 Einwohnern) huschen durch den dortigen Hauptbahnhof täglich allein schon 450.000 Leute durch."
3816,"""dass ist schon etwas wo die die Luft wegbleibt und ist auch nicht mit einem Furz zu verwechseln""

Also, dann war ich gestern Abend temporär tot."
3817,"""Frauenleiche verweste wochenlang in Fundbüro in Tokio""

Ja, verwesen - das machen Leichen eben. Und ich glaube, das ist deren einzigste Freizeitbeschäftigung."
3818,"Der Bahnhof Shinjuku z.B. hat um die 3,5 Millionen Reisende - PRO TAG !!! - und wird als der verkehrsreichste Bahnhof der Welt bezeichnet."
3819,"auch in unserer Gesellschaft kommt sowas immer wieder vor. Vor einem viertel Jahr in meinem Wohnhaus - nach 2 Wochen eine männliche Leiche gefunden. Die kleine Tochter vom Nachbar beschwerte sich bei ihrer Mutter ein paar Tage nach dem Ableben des alten Mannes, da es so komisch riecht - die Mutter roch nichts."
3820,"Wenn das Köfferchen halbwegs luftdicht und gut verschlossen war, kommt da nicht soviel raus, wenn nicht, dann saftelt es schon heraus, hab mal ein Paket mit Fleisch erhalten, das zulange am Postweg unterwegs war. Der Postler war glaub ich graugrün im Gesicht, als er es zugestellt hat.
Und meine Darmwinde riechen wie Veilchen, sagt zumindest meine Holde, die an Anosmie leidet....."
3821,will vermutlich auch keiner bemerken.
3822,"""Einzigste"" ist ein Superlativ wovon?"
3823,"Es handelt sich dabei um eine neuere, aber natürlich auch nicht mehr taufrische Version des Deppenapostrophen"
3824,womöglich einfach Massenmord an Darmbakterien??
3825,"Granny Dumping, Radikalform.

Außerdem natürlich gibt's ja auch Rentenfortzahlungstricks dieser Preisklasse..."
3826,"Einzige - einzigste - die am Einzigsten.

;-)"
3827,Kaufen sie ihr Fleisch bei Amazon?? :-)
3828,"Der Koffer muss wirklich gut luftdicht gewesen sein. Mein Kater hat einmal eine Maus gut versteckt, und das hat schon so stark gerochen, dass einem übel werden konnte nach zwei Tagen (die Maus wurde auch dann entsorgt). Wie muss das dann erst bei einem Menschen sein?"
3829,was sagt die gewerkschaft?
3830,
3831,
3832,Wer fährt da mit dem Fahrrad auf der Landebahn?
3833,"Was soll dieses Projekt beweisen?? Soll das etwa für die Fotovoltaik sprechen?? Was für ein Reinfall... 17.000 Solarzellen für 2,5 Tonnen. Schon beim kleinsten Wölkchen sind die Solarzellen vollkommen nutzlos. So gut wie keine der Flüge kann wie geplant stattfinden. Die Piloten tragen Windeln..Und alles nur um den Öko-Troll bei der Stange zu halten. Aber von grüner Energie und Glawischniks hört man inzwischen (Gott sei Dank).. Eh nix mehr.."
3834,"hattest du dabei schon mal Sonnenschein in Flughöhe obwohl unter dir Wolken waren?
ich glaube die Bezeichnung ""öko-Troll"" trifft wohl am ehesten auf dich zu!"
3835,"waren auch nicht gerade zuverlässig...
Aber die Entwickler damals haben auch weiter getan und ihre Entwicklung verbessert. Genauso wird es hier auch sein. Es geht ja nicht darum Passagierflugzeuge zu entwickeln. Sie sind ziemlich destruktiv."
3836,"Bei der Spannweite würd ich mal auf einen der Helfer tippen, die dem Piloten beim Start unterstützen."
3837,"""Was soll dieses Projekt beweisen?""

Das Solarflug heutzutagen nicht mehr Kindern und zierlichen Frauen vorbehalten ist.

In einer ölfreien Zukunft überquer ich den Pazifik in einem Segelschiff - aber immerhin, manche werden sich den Flug weiterhin leisten können."
3838,Das ist ein Forschungsprojekt bei dem es drum geht neue Erkenntnisse zu sammeln und auch eine Diskussion über erneuerbare Energie zu entfachen. Es geht nicht darum kommerziell in absehbarer Zeit solche Flugzeuge zu bauen.
3839,"Tatsächlich ist der Solarflug auf die dichte Luft angewiesen, wie man sie in niedriger Höhe vorfindet. Spart nebenbei auch die Druckkabine und den Kompressor.

Unobtanium kann man nicht nur in Solarzellen verbauen - das kann man auch tanken :)"
3840,"Und welche Erkenntnisse wären das? Dass man Solarzellen auch auf Flugzeugen montieren kann? Das ganze ist ein Werbe-Gag. Und hat nichts mit Forschung zu tun.

Und die Debatte um erneuerbare Energien wird schon viel zu lange geführt. Hat sich in der Praxis als nutzlos erwiesen.

Manche hier wollen einfach nicht lesen lernen. Lesen Sie doch was in dem Artikel steht. Zwei Monate stand das Flugzeug still.. Ohne Worte

So wie hierzulande alle Fotovoltaik gut 8 Monate im Jahr schweigen.

Mit den um zik Millionen Euro teuren BürgerInninnen Solarkraftwerken die in Wien aufgestellt wurden bringen sie noch nicht mal eine Glühbirne zum laufen.."
3841,Fotovoltaikanlagen gibt es schon seit über einem halben Jahrhundert.. Die Nasa benutzt sie schon seit eh und je. Hat größtes Interesse an besseren Modulen. Und nichts ist weiter gegangen..
3842,"Wenn alles neue nicht gemacht werden würde, weil die Abulalas sagen geht ned, brauch ma ned, würden wir unserem Essen jetzt noch mit Steinen hinterherjagen. Selten dumme Einstellung."
3843,"Sie sind also ernsthaft der Meinung, dass die heutigen Solarzellen noch denjenigen von anno dazumal entsprechen?"
3844,Ja..noch geringer kann der Wirkungsgrad wohl kaum gewesen sein.
3845,"okay, wo kommt der artikel jetzt her.

oder wenn der flieger von nanjing nach nagoya geflogen ist, was haben shanghai und tokio damit zu tun. und war er auf einen abstecher in bern (das ja schon etwas woanders ist). und warum wird nicht noch riad oder tel aviv mitgenannt, schließlich ist der flieger in abu dhabi gestartet, sowie natürlich anchorage, weil der flieger in hawaii landen soll.

(Bertrand Piccard is aus Lausanne und Andre Borschberg is aus Zürich)."
3846,Es ist aber nix neues..geht das nicht in eure schädel.. Es ist ein schmäh.
3847,in diesem Kommentar ist eindeutig deine Fachkompetenz zum Thema erneuerbare Energien erkennbar </sarkasmus>
3848,"Noch ist er nicht gelandet. Hier die Liveübertragung der Landung

https://www.youtube.com/watch?t=4133&v=HtEx4yJAqok"
